dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;mapTp(dungeonTp,Mines1);dw;dw
dw;background(simple-dungeon);;;;dw;dw;dw;dw;dc;;;dw;dw;dw;dw;e3;;;dw;tw;;tw;dw
dw;;;;;dw;dw;dw;dw;dw;;;;dw;dw;;;;;dw;dw;;dw;dw
dw;;;;;dw;dw;dw;dw;dw;dw;;;;;;;dw;;;dw;;dc;dw
dw;dw;;;dw;dw;dw;dw;dw;dw;dw;dw;;e2;;;dw;dw;;;;;dw;dw
dw;;;;dw;dw;dc;;;dw;dw;dw;dw;dw;dw;dw;dw;dw;;;;;;dw
dw;;;;dw;dw;;;;dw;dw;dw;dw;dw;dw;dw;dw;dw;;;tw;;dw;dw
dw;;;;tw;dw;;;;dc;dw;e3;;;;;;;;;;;dw;dw
dw;;;;;;;;;dw;dw;;;;;;;;;;;;dw;dw
dw;;;;;;;;;dw;dw;dw;dw;dw;dw;tw;;;;;dw;;dw;dw
dw;;;;tw;;;;;dw;dw;;;;;;;;;;dw;;;dw
dw;;;;dw;;;;;dc;dw;;;;;;;;;;dw;;;dw
dc;;;tp(2-18);dw;dw;dw;dw;dw;dw;dw;dw;dw;tw;;;;;;;dw;;;tw
dw;;;;dw;dw;dw;dw;dw;dw;dw;;;;;;;;;;dw;dw;;mapTp(dungeonTp, Mines4,13,1)
dw;;;;dw;t;;;;dw;;;;;;;;tw;;;dw;dw;;tw
dw;;;;dw;;;e1;;;;;;;tw;;;dw;;;dw;dw;;dw
dw;;;;dw;dw;dw;dw;;;;;;;dw;;;dw;;;dw;;;dw
dw;;;;;;;;;;;;dw;dw;dw;dw;dw;dw;;;dw;;;dw
dw;;;;;;;;;dw;dw;dw;dw;;;;;dw;;;dw;;;dw
dw;;;;;;dw;dw;dw;dw;dw;dw;dw;;;;;tw;;;dw;;;dw
dw;;tw;;dw;dw;dw;;;;;dc;dw;;;;;;;;dw;;e3;dw
dw;;;;;;;;e3;;;dw;dw;;;;;;;;;;;dw
dw;;;;;;;;;;;dw;dw;;;;;;;;;;;dw
dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw
