rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw
rw;;;;;rw;rw;rw;rw;s;;;rw;rw;rw;rw;e3;;;rw;rw;c;;rw
rw;;p;;;rw;rw;rw;rw;rw;;;;rw;rw;;;;;rw;rw;rw;;rw
rw;;;;;rw;rw;rw;rw;rw;rw;;;;;;;rw;;;rw;c;;rw
rw;rw;;;rw;rw;rw;rw;rw;rw;rw;rw;;e2;;;rw;rw;;;;rw;;rw
rw;;;;rw;rw;c;;;rw;rw;rw;rw;rw;rw;rw;rw;rw;;;;;;rw
rw;;;;rw;rw;;;;rw;rw;rw;rw;rw;rw;rw;rw;rw;;;rw;;rw;rw
rw;;;;rw;rw;;;;c;rw;e3;;;;;;;;;;;rw;rw
rw;;;;;;;;;rw;rw;;;;;;;;;;;;rw;rw
rw;;;;;;;;;rw;rw;rw;rw;rw;rw;rw;;;;;rw;;rw;rw
rw;;;;rw;;;;;rw;rw;;;;;;;;;;rw;;;rw
rw;;;;rw;;;;;c;rw;;;;;;;;;;rw;;;rw
rw;;;;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;;;;;;;rw;;;rw
rw;;;;rw;rw;rw;rw;rw;rw;rw;;;;;;;;;;rw;;;rw
rw;;;;rw;t;;;;rw;;;;;;;;rw;;;rw;;;rw
rw;;;;rw;;;e1;;;;;;;rw;;;rw;;;rw;;;rw
rw;;;;rw;rw;rw;rw;;;;;;;rw;;;rw;;;rw;;;rw
rw;;;;;;;;;;;;rw;rw;rw;rw;rw;rw;;;rw;;;rw
rw;;;;;;;;;rw;rw;rw;rw;;;;;rw;;;rw;;;rw
rw;;;;;;rw;rw;rw;rw;rw;rw;rw;;;;;rw;;;rw;;;rw
rw;;rw;;rw;rw;rw;;;;;c;rw;;;;;;;;rw;;e3;rw
rw;;;;;;;;e3;;;rw;rw;;;;;;;;;;;rw
rw;;;;;;;;;;;rw;rw;;;;;;;;;;;rw
rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw
